row,note_id,onset_beat,measure,duration_beat,pitch_spelling,pitch_midi,cadence,cadence_confidence,localkey,localkey_confidence,tonkey,tonkey_confidence,quality,quality_confidence,inversion,inversion_confidence,root,root_confidence,bass,bass_confidence,degree1,degree1_confidence,degree2,degree2_confidence,hrythm,hrythm_confidence,pcset,pcset_confidence,romanNumeral,romanNumeral_confidence,section,section_confidence,phrase,phrase_confidence,organ_point,organ_point_confidence,tpc_in_label,tpc_in_label_confidence,tpc_is_root,tpc_is_root_confidence,tpc_is_bass,tpc_is_bass_confidence,downbeat,downbeat_confidence,note_degree,note_degree_confidence,staff,staff_confidence
44,p0n48,19.0,8,1.0,A2,57,,0.88448054,G,0.932483,G,0.8416765,major triad,0.8675263,0,0.76760143,D,0.7332487,A,0.53201807,5,0.86966574,None,0.86728626,True,0.9023286,"{2,6,9}",0.88514906,V,0.7260933,False,0.9483009,False,0.9063551,True,0.74125785,True,0.93013763,False,0.51097584,True,0.5619904,2,0.38404393,2,0.86648476,3,0.5489396
45,p0n47,19.0,8,1.0,F#3,66,,0.890003,G,0.9322191,G,0.8442501,major triad,0.8649275,0,0.7647766,D,0.73387855,A,0.53387535,5,0.8677631,None,0.8715664,True,0.89680123,"{2,6,9}",0.89026433,V,0.743637,False,0.9480472,False,0.896081,True,0.812438,True,0.8331567,False,0.9467271,False,0.9177068,2,0.37931022,7,0.7997561,3,0.57211494
46,p0n50,20.0,8,1.0,A1,45,,0.84104955,G,0.91391295,D,0.54998505,major triad,0.8820661,0,0.924505,A,0.9004269,A,0.93108207,5,0.8167645,5,0.7920945,True,0.9024341,"{1,4,9}",0.81424993,V,0.85660964,False,0.94815767,False,0.8992778,True,0.8462154,True,0.94448364,True,0.9445148,True,0.9300545,3,0.40717927,2,0.62278855,3,0.5539906
47,p0n49,20.0,8,1.0,E3,64,,0.8324347,G,0.9141072,D,0.55224544,major triad,0.8848593,0,0.9208638,A,0.90281516,A,0.92968476,5,0.8137569,5,0.7742521,True,0.89501524,"{1,4,9}",0.8117679,V,0.8578424,False,0.9488918,False,0.9011618,True,0.74567264,True,0.94795644,False,0.9477202,False,0.9512376,3,0.38955998,6,0.4393949,3,0.59479076
48,p0n52,21.0,9,1.0,D2,50,HC,0.4019966,G,0.9207981,G,0.8477379,major triad,0.9003452,0,0.94186485,D,0.91804373,D,0.92483085,5,0.69482243,None,0.8522786,True,0.94962305,"{2,6,9}",0.8765958,V,0.60618407,False,0.9461822,True,0.8251166,True,0.83371013,True,0.9583628,True,0.9408119,True,0.94336957,1,0.848452,5,0.8627135,3,0.42263854
49,p0n51,21.0,9,2.0,D3,62,HC,0.39725336,G,0.9203444,G,0.8463864,major triad,0.89960223,0,0.9418344,D,0.9184238,D,0.9246276,5,0.6935756,None,0.8521222,True,0.94955647,"{2,6,9}",0.87480503,V,0.60259223,False,0.946376,True,0.8249166,True,0.8327501,True,0.9590393,True,0.9411334,True,0.94367635,1,0.84902626,5,0.86257946,3,0.42018232
50,p0n53,22.0,9,1.0,D1,38,,0.9022794,G,0.93184596,G,0.89502466,major triad,0.85596365,0,0.91691524,D,0.9228572,D,0.9271891,5,0.8610946,None,0.83174545,False,0.8610951,"{2,6,9}",0.865557,V,0.8254006,False,0.94565624,False,0.94702554,True,0.84081274,True,0.95532745,True,0.9377605,True,0.91767216,2,0.4404362,5,0.9300776,3,0.45876455
51,p0n54,23.0,10,0.5,D4,74,,0.91470087,G,0.9164715,G,0.6924813,major triad,0.46653712,0,0.58576167,G,0.32289958,D,0.54081917,5,0.3863533,None,0.5907389,True,0.6860345,"{2,7,11}",0.41706184,I,0.25105026,False,0.9336903,False,0.93350255,True,0.6228945,True,0.85466963,False,0.7898153,False,0.57652855,1,0.7490646,5,0.80091,3,0.43870103
52,p0n56,23.5,10,0.5,B3,71,,0.9205592,G,0.91100067,G,0.4327551,major triad,0.24627626,0,0.52234876,B,0.2756441,D,0.5628746,5,0.37692705,2,0.28951135,False,0.88227516,"{2,7,11}",0.1910204,V7,0.21617173,False,0.95045763,False,0.95108557,True,0.6687208,True,0.67942035,False,0.7297432,False,0.7865399,0,0.8879755,3,0.40087056,3,0.4104428
53,p0n58,24.0,11,1.0,E2,52,,0.8844106,G,0.8996157,A,0.6965278,major triad,0.56863785,0,0.89684844,E,0.9351492,E,0.9120805,5,0.8229911,2,0.89602,True,0.8786873,"{4,8,11}",0.4667259,V,0.5323899,False,0.9442636,False,0.90815425,True,0.8331644,True,0.9307827,True,0.8997402,True,0.89297336,1,0.60784084,6,0.5540827,3,0.37054434
